,PM2.5,Season,Dew,Humi,Pres,Temp,W_dir,W_speed,Prec,Prec_cum
2010-01-04 07:00:00,26.0,4,-21.0,51.0,1027.0,-13.0,NW,73.75,0.0,0.0
2010-01-04 08:00:00,27.0,4,-22.0,46.0,1028.0,-13.0,NW,80.9,0.0,0.0
2010-01-04 09:00:00,27.0,4,-22.0,46.0,1029.0,-13.0,NW,90.73,0.0,0.0
2010-01-04 10:00:00,25.0,4,-22.0,43.0,1030.0,-12.0,NW,100.56,0.0,0.0
2010-01-04 11:00:00,29.0,4,-23.0,39.0,1031.0,-12.0,NW,108.61,0.0,0.0
2010-01-04 12:00:00,32.0,4,-21.0,43.0,1030.0,-11.0,NW,117.55,0.0,0.0
2010-01-04 13:00:00,28.0,4,-20.0,43.0,1030.0,-10.0,NW,127.38,0.0,0.0
2010-01-04 14:00:00,29.0,4,-21.0,40.0,1030.0,-10.0,NW,136.32,0.0,0.0
2010-01-04 15:00:00,30.0,4,-21.0,37.0,1030.0,-9.0,NW,145.26,0.0,0.0
2010-01-04 16:00:00,30.0,4,-21.0,37.0,1031.0,-9.0,NW,152.41,0.0,0.0
2010-01-04 17:00:00,28.0,4,-20.0,47.0,1032.0,-11.0,NW,159.56,0.0,0.0
2010-01-04 18:00:00,26.0,4,-23.0,36.0,1032.0,-11.0,NW,165.37,0.0,0.0
2010-01-04 19:00:00,31.0,4,-21.0,47.0,1033.0,-12.0,NW,171.18,0.0,0.0
2010-01-04 20:00:00,33.0,4,-24.0,36.0,1034.0,-12.0,NW,180.12,0.0,0.0
2010-01-04 21:00:00,29.0,4,-24.0,39.0,1034.0,-13.0,NW,187.27,0.0,0.0
2010-01-04 22:00:00,31.0,4,-24.0,39.0,1035.0,-13.0,NW,195.32,0.0,0.0
2010-01-04 23:00:00,30.0,4,-26.0,38.0,1035.0,-15.0,NW,198.45,0.0,0.0
2010-01-05 00:00:00,34.0,4,-26.0,45.0,1035.0,-17.0,NW,201.58,0.0,0.0
2010-01-05 01:00:00,27.0,4,-26.0,49.0,1035.0,-18.0,NW,205.6,0.0,0.0
2010-01-05 02:00:00,25.0,4,-26.0,53.0,1035.0,-19.0,NW,208.73,0.0,0.0
2010-01-05 03:00:00,28.0,4,-27.0,45.0,1035.0,-18.0,NW,213.65,0.0,0.0
2010-01-05 04:00:00,28.0,4,-27.0,49.0,1035.0,-19.0,NW,218.57,0.0,0.0
2010-01-05 05:00:00,27.0,4,-27.0,38.0,1034.0,-16.0,NE,4.92,0.0,0.0
2010-01-05 06:00:00,27.0,4,-26.0,41.0,1035.0,-16.0,NE,8.05,0.0,0.0
2010-01-05 07:00:00,27.0,4,-27.0,38.0,1034.0,-16.0,NE,13.86,0.0,0.0
2010-01-05 08:00:00,29.0,4,-26.0,41.0,1035.0,-16.0,NE,18.78,0.0,0.0
2010-01-05 09:00:00,36.0,4,-26.0,38.0,1035.0,-15.0,NE,24.59,0.0,0.0
2010-01-05 10:00:00,30.0,4,-25.0,38.0,1035.0,-14.0,NE,29.51,0.0,0.0
2010-01-05 11:00:00,27.0,4,-25.0,35.0,1035.0,-13.0,NE,34.43,0.0,0.0
2010-01-05 12:00:00,39.0,4,-25.0,33.0,1034.0,-12.0,NE,39.35,0.0,0.0
2010-01-05 13:00:00,41.0,4,-24.0,33.0,1032.0,-11.0,NE,41.14,0.0,0.0
2010-01-05 14:00:00,33.0,4,-22.0,39.0,1032.0,-11.0,cv,0.89,0.0,0.0
2010-01-05 15:00:00,50.0,4,-23.0,36.0,1031.0,-11.0,NW,1.79,0.0,0.0
2010-01-05 16:00:00,56.0,4,-24.0,33.0,1031.0,-11.0,NW,3.58,0.0,0.0
2010-01-05 17:00:00,59.0,4,-23.0,36.0,1031.0,-11.0,NW,5.37,0.0,0.0
2010-01-05 18:00:00,60.0,4,-23.0,36.0,1032.0,-11.0,NW,7.16,0.0,0.0
2010-01-05 19:00:00,84.0,4,-22.0,46.0,1033.0,-13.0,NW,10.29,0.0,0.0
2010-01-05 20:00:00,106.0,4,-22.0,43.0,1033.0,-12.0,NW,13.42,0.0,0.0
2010-01-05 21:00:00,66.0,4,-24.0,59.0,1033.0,-18.0,NW,16.55,0.0,0.0
2010-01-05 22:00:00,50.0,4,-22.0,46.0,1034.0,-13.0,NW,20.57,0.0,0.0
2010-01-05 23:00:00,56.0,4,-22.0,59.0,1033.0,-16.0,NW,23.7,0.0,0.0
2010-01-06 00:00:00,77.0,4,-25.0,49.0,1033.0,-17.0,NW,26.83,0.0,0.0
2010-01-06 01:00:00,50.0,4,-25.0,38.0,1033.0,-14.0,NE,4.02,0.0,0.0
2010-01-06 02:00:00,44.0,4,-26.0,35.0,1034.0,-14.0,NE,8.04,0.0,0.0
2010-01-06 03:00:00,27.0,4,-26.0,35.0,1033.0,-14.0,NE,13.85,0.0,0.0
2010-01-06 04:00:00,28.0,4,-26.0,35.0,1033.0,-14.0,NE,17.87,0.0,0.0
2010-01-06 05:00:00,21.0,4,-26.0,35.0,1033.0,-14.0,NE,23.68,0.0,0.0
2010-01-06 06:00:00,25.0,4,-26.0,35.0,1033.0,-14.0,NE,28.6,0.0,0.0
2010-01-06 07:00:00,20.0,4,-26.0,38.0,1034.0,-15.0,NE,33.52,0.0,0.0
2010-01-06 08:00:00,29.0,4,-26.0,35.0,1034.0,-14.0,NE,39.33,0.0,0.0
2010-01-06 09:00:00,34.0,4,-25.0,35.0,1035.0,-13.0,NE,44.25,0.0,0.0
2010-01-06 10:00:00,42.0,4,-25.0,33.0,1035.0,-12.0,NE,50.06,0.0,0.0
2010-01-06 11:00:00,28.0,4,-24.0,33.0,1035.0,-11.0,NE,54.98,0.0,0.0
2010-01-06 12:00:00,36.0,4,-24.0,30.0,1034.0,-10.0,NE,59.0,0.0,0.0
2010-01-06 13:00:00,48.0,4,-22.0,36.0,1033.0,-10.0,NW,4.02,0.0,0.0
2010-01-06 14:00:00,49.0,4,-22.0,34.0,1033.0,-9.0,NW,5.81,0.0,0.0
2010-01-06 15:00:00,52.0,4,-22.0,31.0,1033.0,-8.0,cv,0.89,0.0,0.0
2010-01-06 16:00:00,56.0,4,-22.0,31.0,1033.0,-8.0,NW,1.79,0.0,0.0
2010-01-06 17:00:00,96.0,4,-21.0,37.0,1033.0,-9.0,NW,3.58,0.0,0.0
2010-01-06 18:00:00,75.0,4,-22.0,34.0,1033.0,-9.0,NW,5.37,0.0,0.0
2010-01-06 19:00:00,105.0,4,-22.0,50.0,1034.0,-14.0,cv,0.89,0.0,0.0
2010-01-06 20:00:00,132.0,4,-22.0,43.0,1035.0,-12.0,NW,1.79,0.0,0.0
2010-01-06 21:00:00,93.0,4,-21.0,55.0,1034.0,-14.0,NW,3.58,0.0,0.0
2010-01-06 22:00:00,131.0,4,-22.0,59.0,1035.0,-16.0,NW,5.37,0.0,0.0
2010-01-06 23:00:00,127.0,4,-21.0,65.0,1035.0,-16.0,NW,7.16,0.0,0.0
2010-01-07 00:00:00,130.0,4,-21.0,65.0,1035.0,-16.0,NW,8.95,0.0,0.0
2010-01-07 01:00:00,43.0,4,-21.0,65.0,1035.0,-16.0,cv,0.45,0.0,0.0
2010-01-07 02:00:00,37.0,4,-22.0,70.0,1036.0,-18.0,cv,1.34,0.0,0.0
2010-01-07 03:00:00,30.0,4,-23.0,50.0,1036.0,-15.0,NW,4.02,0.0,0.0
2010-01-07 04:00:00,28.0,4,-24.0,50.0,1035.0,-16.0,NW,7.15,0.0,0.0
2010-01-07 05:00:00,24.0,4,-25.0,42.0,1035.0,-15.0,NW,10.28,0.0,0.0
2010-01-07 06:00:00,23.0,4,-24.0,46.0,1035.0,-15.0,NW,14.3,0.0,0.0
2010-01-07 07:00:00,24.0,4,-25.0,35.0,1036.0,-13.0,NE,4.92,0.0,0.0
2010-01-07 08:00:00,27.0,4,-24.0,42.0,1036.0,-14.0,NW,4.02,0.0,0.0
2010-01-07 09:00:00,40.0,4,-23.0,39.0,1036.0,-12.0,NW,8.94,0.0,0.0
2010-01-07 10:00:00,42.0,4,-22.0,39.0,1036.0,-11.0,NW,12.96,0.0,0.0
2010-01-07 11:00:00,42.0,4,-20.0,43.0,1036.0,-10.0,NW,16.09,0.0,0.0
2010-01-07 12:00:00,55.0,4,-21.0,37.0,1035.0,-9.0,NW,19.22,0.0,0.0
2010-01-07 13:00:00,52.0,4,-21.0,34.0,1034.0,-8.0,NW,21.01,0.0,0.0
2010-01-07 14:00:00,51.0,4,-20.0,34.0,1033.0,-7.0,NW,22.8,0.0,0.0
2010-01-07 15:00:00,57.0,4,-20.0,34.0,1032.0,-7.0,NW,24.59,0.0,0.0
2010-01-07 16:00:00,50.0,4,-18.0,44.0,1032.0,-8.0,NW,26.38,0.0,0.0
2010-01-07 17:00:00,54.0,4,-19.0,44.0,1032.0,-9.0,NW,28.17,0.0,0.0
2010-01-07 18:00:00,67.0,4,-19.0,51.0,1032.0,-11.0,NE,0.89,0.0,0.0
2010-01-07 19:00:00,106.0,4,-18.0,56.0,1033.0,-11.0,NW,1.79,0.0,0.0
2010-01-07 20:00:00,159.0,4,-19.0,71.0,1032.0,-15.0,NE,1.79,0.0,0.0
2010-01-07 21:00:00,198.0,4,-19.0,65.0,1032.0,-14.0,cv,0.45,0.0,0.0
2010-01-07 22:00:00,190.0,4,-21.0,55.0,1032.0,-14.0,cv,1.34,0.0,0.0
2010-01-07 23:00:00,210.0,4,-21.0,65.0,1032.0,-16.0,cv,2.23,0.0,0.0
2010-01-08 00:00:00,195.0,4,-21.0,71.0,1031.0,-17.0,NW,1.79,0.0,0.0
2010-01-08 01:00:00,275.0,4,-19.0,77.0,1031.0,-16.0,NW,3.58,0.0,0.0
2010-01-08 02:00:00,164.0,4,-20.0,71.0,1031.0,-16.0,NE,0.89,0.0,0.0
2010-01-08 03:00:00,110.0,4,-19.0,71.0,1030.0,-15.0,SE,0.89,0.0,0.0
2010-01-08 04:00:00,100.0,4,-18.0,77.0,1030.0,-15.0,cv,0.45,0.0,0.0
2010-01-08 05:00:00,81.0,4,-18.0,77.0,1029.0,-15.0,cv,1.34,0.0,0.0
2010-01-08 06:00:00,71.0,4,-18.0,77.0,1029.0,-15.0,NW,1.79,0.0,0.0
2010-01-08 07:00:00,66.0,4,-16.0,78.0,1029.0,-13.0,NE,0.89,0.0,0.0
2010-01-08 08:00:00,92.0,4,-16.0,72.0,1029.0,-12.0,SE,0.89,0.0,0.0
2010-01-08 09:00:00,135.0,4,-16.0,72.0,1030.0,-12.0,SE,1.78,0.0,0.0
2010-01-08 10:00:00,155.0,4,-17.0,56.0,1030.0,-10.0,NE,0.89,0.0,0.0
2010-01-08 11:00:00,198.0,4,-16.0,61.0,1029.0,-10.0,cv,0.89,0.0,0.0
2010-01-08 12:00:00,250.0,4,-16.0,56.0,1028.0,-9.0,SE,3.13,0.0,0.0
2010-01-08 13:00:00,200.0,4,-15.0,57.0,1026.0,-8.0,SE,4.92,0.0,0.0
2010-01-08 14:00:00,231.0,4,-16.0,52.0,1026.0,-8.0,cv,0.89,0.0,0.0
2010-01-08 15:00:00,250.0,4,-16.0,52.0,1025.0,-8.0,cv,1.78,0.0,0.0
2010-01-08 16:00:00,212.0,4,-16.0,52.0,1025.0,-8.0,cv,2.67,0.0,0.0
2010-01-08 17:00:00,219.0,4,-17.0,48.0,1025.0,-8.0,SE,0.89,0.0,0.0
2010-01-08 18:00:00,227.0,4,-17.0,52.0,1026.0,-9.0,cv,0.45,0.0,0.0
2010-01-08 19:00:00,226.0,4,-17.0,61.0,1026.0,-11.0,cv,1.34,0.0,0.0
2010-01-08 20:00:00,225.0,4,-17.0,66.0,1026.0,-12.0,cv,1.79,0.0,0.0
2010-01-08 21:00:00,168.0,4,-18.0,71.0,1027.0,-14.0,NW,1.79,0.0,0.0
2010-01-08 22:00:00,169.0,4,-16.0,56.0,1027.0,-9.0,NW,4.92,0.0,0.0
2010-01-08 23:00:00,165.0,4,-16.0,66.0,1027.0,-11.0,NW,6.71,0.0,0.0
2010-01-09 00:00:00,159.0,4,-17.0,71.0,1027.0,-13.0,cv,0.89,0.0,0.0
2010-01-09 01:00:00,167.0,4,-17.0,71.0,1027.0,-13.0,NW,3.13,0.0,0.0
2010-01-09 02:00:00,196.0,4,-17.0,77.0,1027.0,-14.0,NW,4.92,0.0,0.0
2010-01-09 03:00:00,169.0,4,-17.0,84.0,1027.0,-15.0,NW,8.05,0.0,0.0
2010-01-09 04:00:00,155.0,4,-17.0,71.0,1027.0,-13.0,NW,9.84,0.0,0.0
2010-01-09 05:00:00,119.0,4,-19.0,77.0,1027.0,-16.0,NW,13.86,0.0,0.0
2010-01-09 06:00:00,106.0,4,-18.0,77.0,1027.0,-15.0,NW,17.88,0.0,0.0
2010-01-09 07:00:00,93.0,4,-19.0,71.0,1027.0,-15.0,NW,21.9,0.0,0.0
2010-01-09 08:00:00,84.0,4,-18.0,71.0,1028.0,-14.0,NW,25.92,0.0,0.0
2010-01-09 09:00:00,73.0,4,-18.0,48.0,1029.0,-9.0,NE,5.81,0.0,0.0
2010-01-09 10:00:00,66.0,4,-17.0,44.0,1029.0,-7.0,NE,11.62,0.0,0.0
2010-01-09 11:00:00,40.0,4,-17.0,41.0,1030.0,-6.0,NE,17.43,0.0,0.0
2010-01-09 12:00:00,49.0,4,-16.0,45.0,1029.0,-6.0,NE,23.24,0.0,0.0
2010-01-09 13:00:00,50.0,4,-16.0,41.0,1029.0,-5.0,NE,28.16,0.0,0.0
2010-01-09 14:00:00,49.0,4,-15.0,42.0,1029.0,-4.0,NE,33.08,0.0,0.0
2010-01-09 15:00:00,41.0,4,-14.0,45.0,1028.0,-4.0,NE,37.1,0.0,0.0
2010-01-09 16:00:00,37.0,4,-15.0,42.0,1029.0,-4.0,NE,38.89,0.0,0.0
2010-01-09 17:00:00,45.0,4,-15.0,42.0,1030.0,-4.0,NW,1.79,0.0,0.0
2010-01-09 18:00:00,44.0,4,-15.0,52.0,1030.0,-7.0,NE,3.13,0.0,0.0
2010-01-09 19:00:00,54.0,4,-15.0,48.0,1031.0,-6.0,NW,3.13,0.0,0.0
2010-01-09 20:00:00,50.0,4,-15.0,52.0,1032.0,-7.0,NW,4.92,0.0,0.0
2010-01-09 21:00:00,47.0,4,-15.0,48.0,1032.0,-6.0,NE,3.13,0.0,0.0
2010-01-09 22:00:00,66.0,4,-15.0,57.0,1033.0,-8.0,cv,0.45,0.0,0.0
2010-01-09 23:00:00,75.0,4,-15.0,57.0,1033.0,-8.0,cv,0.9,0.0,0.0
2010-01-10 00:00:00,82.0,4,-15.0,72.0,1033.0,-11.0,NW,0.89,0.0,0.0
2010-01-10 01:00:00,66.0,4,-17.0,71.0,1033.0,-13.0,NW,1.78,0.0,0.0
2010-01-10 02:00:00,83.0,4,-17.0,66.0,1033.0,-12.0,NW,4.91,0.0,0.0
2010-01-10 03:00:00,62.0,4,-17.0,71.0,1033.0,-13.0,NW,8.04,0.0,0.0
2010-01-10 04:00:00,40.0,4,-19.0,65.0,1032.0,-14.0,NW,9.83,0.0,0.0
2010-01-10 05:00:00,23.0,4,-18.0,66.0,1032.0,-13.0,NW,12.96,0.0,0.0
2010-01-10 06:00:00,25.0,4,-19.0,60.0,1032.0,-13.0,NW,16.09,0.0,0.0
2010-01-10 07:00:00,27.0,4,-19.0,65.0,1033.0,-14.0,NW,19.22,0.0,0.0
2010-01-10 08:00:00,35.0,4,-19.0,65.0,1034.0,-14.0,NW,22.35,0.0,0.0
2010-01-10 09:00:00,50.0,4,-17.0,66.0,1033.0,-12.0,NW,24.14,0.0,0.0
2010-01-10 10:00:00,70.0,4,-16.0,48.0,1033.0,-7.0,NE,4.02,0.0,0.0
2010-01-10 11:00:00,75.0,4,-15.0,52.0,1033.0,-7.0,NW,3.13,0.0,0.0
2010-01-10 12:00:00,58.0,4,-15.0,52.0,1032.0,-7.0,NW,6.26,0.0,0.0
2010-01-10 13:00:00,70.0,4,-14.0,53.0,1031.0,-6.0,NW,9.39,0.0,0.0
2010-01-10 14:00:00,68.0,4,-14.0,53.0,1031.0,-6.0,NW,12.52,0.0,0.0
2010-01-10 15:00:00,71.0,4,-13.0,53.0,1030.0,-5.0,NW,14.31,0.0,0.0
2010-01-10 16:00:00,88.0,4,-14.0,49.0,1031.0,-5.0,NW,16.1,0.0,0.0
2010-01-10 17:00:00,84.0,4,-14.0,53.0,1031.0,-6.0,NW,19.23,0.0,0.0
2010-01-10 18:00:00,83.0,4,-13.0,62.0,1032.0,-7.0,NW,23.25,0.0,0.0
2010-01-10 19:00:00,66.0,4,-15.0,48.0,1032.0,-6.0,NW,27.27,0.0,0.0
2010-01-10 20:00:00,27.0,4,-15.0,48.0,1033.0,-6.0,NW,30.4,0.0,0.0
2010-01-10 21:00:00,24.0,4,-15.0,42.0,1034.0,-4.0,NW,35.32,0.0,0.0
2010-01-10 22:00:00,22.0,4,-16.0,38.0,1034.0,-4.0,NW,44.26,0.0,0.0
2010-01-10 23:00:00,23.0,4,-17.0,38.0,1035.0,-5.0,NW,52.31,0.0,0.0
2010-01-11 00:00:00,27.0,4,-17.0,41.0,1035.0,-6.0,NW,60.36,0.0,0.0
2010-01-11 01:00:00,23.0,4,-17.0,48.0,1035.0,-8.0,cv,0.89,0.0,0.0
2010-01-11 02:00:00,17.0,4,-19.0,51.0,1036.0,-11.0,NW,4.02,0.0,0.0
2010-01-11 03:00:00,17.0,4,-20.0,47.0,1036.0,-11.0,NW,8.94,0.0,0.0
2010-01-11 04:00:00,16.0,4,-21.0,43.0,1035.0,-11.0,NE,4.02,0.0,0.0
2010-01-11 05:00:00,16.0,4,-22.0,43.0,1035.0,-12.0,NW,3.13,0.0,0.0
2010-01-11 06:00:00,20.0,4,-22.0,43.0,1035.0,-12.0,NE,4.92,0.0,0.0
2010-01-11 07:00:00,20.0,4,-22.0,46.0,1036.0,-13.0,NW,5.81,0.0,0.0
2010-01-11 08:00:00,18.0,4,-22.0,34.0,1036.0,-9.0,NW,13.86,0.0,0.0
2010-01-11 09:00:00,25.0,4,-22.0,36.0,1036.0,-10.0,NW,21.91,0.0,0.0
2010-01-11 10:00:00,26.0,4,-22.0,34.0,1036.0,-9.0,NW,29.06,0.0,0.0
2010-01-11 11:00:00,27.0,4,-21.0,37.0,1036.0,-9.0,NW,33.08,0.0,0.0
2010-01-11 12:00:00,28.0,4,-20.0,32.0,1035.0,-6.0,NW,42.02,0.0,0.0
2010-01-11 13:00:00,15.0,4,-19.0,32.0,1034.0,-5.0,NW,50.96,0.0,0.0
2010-01-11 14:00:00,24.0,4,-19.0,32.0,1033.0,-5.0,NW,59.01,0.0,0.0
2010-01-11 15:00:00,13.0,4,-20.0,29.0,1033.0,-5.0,NW,66.16,0.0,0.0
2010-01-11 16:00:00,13.0,4,-20.0,29.0,1032.0,-5.0,NW,71.97,0.0,0.0
2010-01-11 17:00:00,13.0,4,-20.0,29.0,1033.0,-5.0,NW,76.89,0.0,0.0
2010-01-11 18:00:00,17.0,4,-20.0,34.0,1033.0,-7.0,NW,81.81,0.0,0.0
2010-01-11 19:00:00,20.0,4,-22.0,29.0,1033.0,-7.0,NW,85.83,0.0,0.0
2010-01-11 20:00:00,27.0,4,-22.0,31.0,1033.0,-8.0,NW,89.85,0.0,0.0
2010-01-11 21:00:00,20.0,4,-23.0,33.0,1033.0,-10.0,NW,91.64,0.0,0.0
2010-01-11 22:00:00,15.0,4,-23.0,42.0,1033.0,-13.0,NW,93.43,0.0,0.0
2010-01-11 23:00:00,21.0,4,-22.0,43.0,1032.0,-12.0,cv,0.89,0.0,0.0
2010-01-12 00:00:00,21.0,4,-22.0,55.0,1031.0,-15.0,cv,1.78,0.0,0.0
2010-01-12 01:00:00,37.0,4,-22.0,50.0,1031.0,-14.0,NE,1.79,0.0,0.0
2010-01-12 02:00:00,26.0,4,-22.0,50.0,1031.0,-14.0,NW,0.89,0.0,0.0
2010-01-12 03:00:00,15.0,4,-24.0,59.0,1030.0,-18.0,NE,1.79,0.0,0.0
2010-01-12 04:00:00,9.0,4,-24.0,39.0,1030.0,-13.0,NE,3.58,0.0,0.0
2010-01-12 05:00:00,11.0,4,-25.0,38.0,1030.0,-14.0,NW,3.13,0.0,0.0
2010-01-12 06:00:00,11.0,4,-24.0,42.0,1030.0,-14.0,NW,7.15,0.0,0.0
2010-01-12 07:00:00,16.0,4,-25.0,33.0,1030.0,-12.0,NW,12.96,0.0,0.0
2010-01-12 08:00:00,13.0,4,-26.0,35.0,1030.0,-14.0,NW,16.98,0.0,0.0
2010-01-12 09:00:00,15.0,4,-25.0,33.0,1031.0,-12.0,NW,21.0,0.0,0.0
2010-01-12 10:00:00,21.0,4,-25.0,30.0,1031.0,-11.0,NW,26.81,0.0,0.0
2010-01-12 11:00:00,24.0,4,-24.0,33.0,1030.0,-11.0,NW,35.75,0.0,0.0
2010-01-12 12:00:00,22.0,4,-23.0,36.0,1029.0,-11.0,NW,47.82,0.0,0.0
2010-01-12 13:00:00,22.0,4,-22.0,39.0,1029.0,-11.0,NW,63.02,0.0,0.0
2010-01-12 14:00:00,22.0,4,-23.0,36.0,1029.0,-11.0,NW,75.98,0.0,0.0
2010-01-12 15:00:00,19.0,4,-22.0,39.0,1029.0,-11.0,NW,88.05,0.0,0.0
2010-01-12 16:00:00,23.0,4,-23.0,36.0,1030.0,-11.0,NW,101.01,0.0,0.0
2010-01-12 17:00:00,25.0,4,-24.0,33.0,1030.0,-11.0,NW,109.06,0.0,0.0
2010-01-12 18:00:00,25.0,4,-24.0,33.0,1032.0,-11.0,NW,118.0,0.0,0.0
2010-01-12 19:00:00,31.0,4,-23.0,36.0,1032.0,-11.0,NW,126.05,0.0,0.0
2010-01-12 20:00:00,25.0,4,-23.0,39.0,1032.0,-12.0,NW,134.1,0.0,0.0
